split	method	action	n	success	failure	tp	tn	fp	fn	success_recall	failure_recall	balanced_accuracy	brier	log_loss	ece_5
train	v5_selected	insert	110	85	25	83	14	11	2	0.9764705882352941	0.56	0.7682352941176471	0.10584120602464087	0.367118498612471	0.043160186183113555
train	v5_selected	remove	89	80	9	52	3	6	28	0.65	0.3333333333333333	0.4916666666666667	0.1454522067218157	0.5039555550039883	0.16805269983825993
train	v5_state_d1	pick	110	104	6	103	5	1	1	0.9903846153846154	0.8333333333333334	0.9118589743589745	0.017598734772464177	0.08556317347957805	0.015813578414626103
train	v5_state_d1	insert	110	85	25	83	14	11	2	0.9764705882352941	0.56	0.7682352941176471	0.10618781868394263	0.3738818065354736	0.007122304121769509
train	v5_state_d1	remove	89	80	9	57	4	5	23	0.7125	0.4444444444444444	0.5784722222222223	0.10762866315158982	0.4031765187832898	0.07129512479033118
train	v5_state_d2	pick	110	104	6	97	5	1	7	0.9326923076923077	0.8333333333333334	0.8830128205128205	0.021793773052902875	0.09549374583196062	0.023106543609721055
train	v5_state_d2	insert	110	85	25	83	14	11	2	0.9764705882352941	0.56	0.7682352941176471	0.10521974533379605	0.35786413928696154	0.05590532474975314
train	v5_state_d2	remove	89	80	9	57	4	5	23	0.7125	0.4444444444444444	0.5784722222222223	0.11516710297550782	0.41552267289876893	0.11534995332398082
train	v5_text_prior	pick	110	104	6	104	0	6	0	1.0	0.0	0.5	0.07062495829578175	0.283636902210717	0.11634035156762432
train	v5_text_prior	insert	110	85	25	81	8	17	4	0.9529411764705882	0.32	0.6364705882352941	0.168060917499846	0.5182202192842631	0.07382829291920204
train	v5_text_prior	remove	89	80	9	80	0	9	0	1.0	0.0	0.5	0.11782956253662523	0.40036701686574266	0.12059925093632956
test	duration	pick	43	39	4	18	2	2	21	0.46153846153846156	0.5	0.4807692307692308	0.08412502244440093	0.31490113359375443	0.03286476926783111
test	duration	insert	42	38	4	19	0	4	19	0.5	0.0	0.25	0.11488977156875657	0.401892069993692	0.13858703297226244
test	duration	remove	19	17	2	17	0	2	0	1.0	0.0	0.5	0.09420389187503331	0.3366104558608571	0.004081983551734602
test	force	pick	43	39	4	39	0	4	0	1.0	0.0	0.5	0.09303207646575923	0.49196784764345713	0.05284632637960927
test	force	insert	42	38	4	18	0	4	20	0.47368421052631576	0.0	0.23684210526315788	0.1502468198246209	1.0931755612910277	0.20423754329206611
test	force	remove	19	17	2	16	0	2	1	0.9411764705882353	0.0	0.47058823529411764	0.13835054855341844	0.5088856191417876	0.09920697059074446
test	state	pick	43	39	4	3	4	0	36	0.07692307692307693	1.0	0.5384615384615384	0.08202604136512975	0.28913167746774115	0.033065067283165134
test	state	insert	42	38	4	38	0	4	0	1.0	0.0	0.5	0.09073036452870617	0.31778706265356205	0.03027708388812283
test	state	remove	19	17	2	15	2	0	2	0.8823529411764706	1.0	0.9411764705882353	0.04880383669213575	0.15737568446276162	0.11083545830585241
test	state_force	pick	43	39	4	39	0	4	0	1.0	0.0	0.5	0.08298476119945138	0.3055998390688373	0.040728036482233124
test	state_force	insert	42	38	4	36	0	4	2	0.9473684210526315	0.0	0.47368421052631576	0.1378379970411485	1.039149922809682	0.14174327740475778
test	state_force	remove	19	17	2	17	2	0	0	1.0	1.0	1.0	0.04409567927375222	0.14696744266389966	0.10815482306963609
test	state_force_duration	pick	43	39	4	39	0	4	0	1.0	0.0	0.5	0.08293356862554496	0.3055006773299955	0.04063494708407362
test	state_force_duration	insert	42	38	4	36	0	4	2	0.9473684210526315	0.0	0.47368421052631576	0.13794476515288634	1.0394603332184165	0.14198874298055925
test	state_force_duration	remove	19	17	2	17	2	0	0	1.0	1.0	1.0	0.04396763821153404	0.1468163565779508	0.10819141887360512
test	state_force_peak	pick	43	39	4	29	3	1	10	0.7435897435897436	0.75	0.7467948717948718	0.0683659301396688	0.23693076844645877	0.037898289253186494
test	state_force_peak	insert	42	38	4	37	0	4	1	0.9736842105263158	0.0	0.4868421052631579	0.10038606778694789	0.3395461224308287	0.035237069037776396
test	state_force_peak	remove	19	17	2	17	2	0	0	1.0	1.0	1.0	0.04308564145726225	0.14227682638956313	0.1041890393048544
test	v5_combined_d1	pick	43	39	4	39	2	2	0	1.0	0.5	0.75	0.04605521782637458	0.2093845477983573	0.03533393361691557
test	v5_combined_d1	insert	42	38	4	35	0	4	3	0.9210526315789473	0.0	0.4605263157894737	0.14149582735446736	0.4619406208525636	0.08266193075168211
test	v5_combined_d1	remove	19	17	2	13	2	0	4	0.7647058823529411	1.0	0.8823529411764706	0.07244894377056689	0.22823847276194362	0.04486540378863413
test	v5_combined_d2	pick	43	39	4	38	2	2	1	0.9743589743589743	0.5	0.7371794871794872	0.04853669694051807	0.23881642994601665	0.0506807374112436
test	v5_combined_d2	insert	42	38	4	35	0	4	3	0.9210526315789473	0.0	0.4605263157894737	0.12776489938764046	0.39394317995705	0.06694380369346471
test	v5_combined_d2	remove	19	17	2	13	0	2	4	0.7647058823529411	0.0	0.38235294117647056	0.11240552127326633	0.35740736137122964	0.1510928837244626
test	v5_duration_d1	pick	43	39	4	12	2	2	27	0.3076923076923077	0.5	0.40384615384615385	0.08768372902161828	0.344435552917613	0.023962319693847517
test	v5_duration_d1	insert	42	38	4	15	0	4	23	0.39473684210526316	0.0	0.19736842105263158	0.13481343508408666	0.4533846971017964	0.2013027295285359
test	v5_duration_d1	remove	19	17	2	6	1	1	11	0.35294117647058826	0.5	0.42647058823529416	0.10245632290925026	0.37003410983777524	0.046689303904923644
test	v5_duration_d2	pick	43	39	4	12	2	2	27	0.3076923076923077	0.5	0.40384615384615385	0.09159015324409961	0.3541009306677463	0.04969022178324508
test	v5_duration_d2	insert	42	38	4	15	0	4	23	0.39473684210526316	0.0	0.19736842105263158	0.12126163570504951	0.43188000362754747	0.15717377860234996
test	v5_duration_d2	remove	19	17	2	4	1	1	13	0.23529411764705882	0.5	0.36764705882352944	0.1218171775860755	0.45392753418050746	0.0474268369005211
test	v5_family_prior	pick	43	39	4	39	0	4	0	1.0	0.0	0.5	0.08530159883720931	0.3164501677517302	0.030523255813953487
test	v5_family_prior	insert	42	38	4	38	0	4	0	1.0	0.0	0.5	0.10491071428571437	0.3780802186827317	0.13690476190476183
test	v5_family_prior	remove	19	17	2	17	0	2	0	1.0	0.0	0.5	0.09420423416953201	0.33660656886318957	0.0046269519953731015
test	v5_force_d1	pick	43	39	4	33	1	3	6	0.8461538461538461	0.25	0.5480769230769231	0.08631520333626365	0.3304860515908466	0.03317612619938198
