outer	group	action	C	threshold	inner_ba	inner_brier	coefficient_norm
2025-01-13-19-04-46	force	remove	10.0	0.55	0.5923611111111111	0.10899124425544726	4.664061768200397
2025-01-13-19-04-46	state_force	pick	10.0	0.1	0.5784313725490197	0.07376257336126678	4.9624825269972295
2025-01-13-19-04-46	state_force	insert	0.1	0.55	0.7767263427109974	0.10995329566414867	0.807756576899507
2025-01-13-19-04-46	state_force	remove	0.1	0.8	0.6909722222222222	0.08239101389581832	0.5730921157684434
2025-01-13-19-04-46	state_force_duration	pick	10.0	0.1	0.5784313725490197	0.07415403588560719	4.965196448578626
2025-01-13-19-04-46	state_force_duration	insert	0.1	0.55	0.7767263427109974	0.11000473670624726	0.807550007559239
2025-01-13-19-04-46	state_force_duration	remove	0.1	0.8	0.6909722222222222	0.08248217442390508	0.5732955703254426
2025-01-13-19-04-46	state_force_peak	pick	1.0	0.95	0.6029411764705883	0.058819490340337226	1.4221539538756907
2025-01-13-19-04-46	state_force_peak	insert	0.1	0.55	0.7767263427109974	0.1140192042946766	0.7290796633701707
2025-01-13-19-04-46	state_force_peak	remove	0.1	0.85	0.7402777777777778	0.0789995544455999	0.5240552833829761
2025-01-14-10-49-57	duration	pick	10.0	0.95	0.578525641025641	0.05295401878402147	0.33929033701153516
2025-01-14-10-49-57	duration	insert	1.0	0.75	0.5611764705882353	0.1748229384882424	0.36574202081928436
2025-01-14-10-49-57	duration	remove	1.0	0.975	0.5074626865671642	0.09115788247081537	0.1654900600590411
2025-01-14-10-49-57	state	pick	0.1	0.975	0.5416666666666667	0.05293157063820819	0.417192819305502
2025-01-14-10-49-57	state	insert	1.0	0.6	0.788235294117647	0.11911891991320879	1.262195056711662
2025-01-14-10-49-57	state	remove	0.1	0.8	0.6993603411513859	0.07782588176306789	0.49341734904296086
2025-01-14-10-49-57	force	pick	10.0	0.15	0.5833333333333334	0.056893582702430036	3.4804701552919455
2025-01-14-10-49-57	force	insert	10.0	0.8	0.7058823529411765	0.15486856040871166	6.486157651203691
2025-01-14-10-49-57	force	remove	10.0	0.85	0.6321961620469083	0.08587627147966723	4.11993112273365
2025-01-14-10-49-57	state_force	pick	0.01	0.5	0.5	0.05220479781693901	0.16960646707817537
2025-01-14-10-49-57	state_force	insert	1.0	0.5	0.7741176470588236	0.11776508825678633	2.226799000331384
2025-01-14-10-49-57	state_force	remove	0.1	0.8	0.6993603411513859	0.0764231764611924	0.5655873018734913
2025-01-14-10-49-57	state_force_duration	pick	0.01	0.5	0.5	0.0522216046887001	0.16942663710460945
2025-01-14-10-49-57	state_force_duration	insert	1.0	0.5	0.7741176470588236	0.11787955057680581	2.2248084689159
2025-01-14-10-49-57	state_force_duration	remove	0.1	0.8	0.6993603411513859	0.07652377571591319	0.565629699008421
2025-01-14-10-49-57	state_force_peak	pick	1.0	0.95	0.6057692307692308	0.058137816254117666	1.4054438073234052
2025-01-14-10-49-57	state_force_peak	insert	10.0	0.5	0.7741176470588236	0.12198031179262074	4.5341878954150125
2025-01-14-10-49-57	state_force_peak	remove	0.1	0.8	0.6993603411513859	0.07583099899925502	0.5399116136811085
2025-01-14-10-57-14	duration	pick	0.01	0.5	0.5	0.05214958436739573	0.004628141035587906
2025-01-14-10-57-14	duration	insert	10.0	0.75	0.5738095238095238	0.1780438677131895	0.38043509742959253
2025-01-14-10-57-14	duration	remove	0.01	0.5	0.5	0.09413995966707124	0.0015398961765804573
2025-01-14-10-57-14	state	pick	1.0	0.99	0.5724137931034483	0.058681013279951004	1.2009143107337517
2025-01-14-10-57-14	state	insert	0.1	0.7	0.7571428571428571	0.13119676413417217	0.6251468847889725
2025-01-14-10-57-14	state	remove	0.1	0.9	0.7520833333333333	0.0768394809181062	0.5072899928991609
2025-01-14-10-57-14	force	pick	10.0	0.95	0.7218390804597701	0.06435322638226156	3.605703258587922
2025-01-14-10-57-14	force	insert	10.0	0.7	0.6880952380952381	0.15510748942833014	6.141882176290534
2025-01-14-10-57-14	force	remove	10.0	0.55	0.5923611111111111	0.10899124425544726	4.664061768200397
2025-01-14-10-57-14	state_force	pick	10.0	0.99	0.5850574712643678	0.08804098171048708	5.364797543391087
2025-01-14-10-57-14	state_force	insert	1.0	0.6	0.7476190476190476	0.1321572890886864	2.0746297157661764
2025-01-14-10-57-14	state_force	remove	0.1	0.8	0.6909722222222222	0.08239101389581832	0.5730921157684434
2025-01-14-10-57-14	state_force_duration	pick	10.0	0.99	0.5850574712643678	0.08829687391362452	5.3647895613091015
2025-01-14-10-57-14	state_force_duration	insert	1.0	0.6	0.7476190476190476	0.1321455470870994	2.0704150528028094
2025-01-14-10-57-14	state_force_duration	remove	0.1	0.8	0.6909722222222222	0.08248217442390508	0.5732955703254426
2025-01-14-10-57-14	state_force_peak	pick	1.0	0.99	0.5724137931034483	0.05826571109473077	1.366592605002451
2025-01-14-10-57-14	state_force_peak	insert	0.1	0.7	0.7333333333333334	0.13990866871549015	0.6310876191791583
2025-01-14-10-57-14	state_force_peak	remove	0.1	0.85	0.7402777777777778	0.0789995544455999	0.5240552833829761
2025-01-14-11-06-43	duration	pick	1.0	0.975	0.5485436893203883	0.045233556316757066	0.41590989518250515
2025-01-14-11-06-43	duration	insert	1.0	0.75	0.5673809523809523	0.17591282802106709	0.3666675994548737
2025-01-14-11-06-43	duration	remove	0.1	0.95	0.5078125	0.06994448162455652	0.03280975557245307
2025-01-14-11-06-43	state	pick	10.0	0.975	0.6689320388349514	0.06690200754573368	2.820451283497092
2025-01-14-11-06-43	state	insert	1.0	0.6	0.7880952380952381	0.12026812594079206	1.2541423512625343
2025-01-14-11-06-43	state	remove	1.0	0.95	0.96875	0.033200276687206036	1.685659790714859
2025-01-14-11-06-43	force	pick	0.01	0.95	0.6320388349514563	0.04449376118362718	0.16480056134007995
2025-01-14-11-06-43	force	insert	10.0	0.8	0.7035714285714285	0.15629324165757433	6.456677621096137
2025-01-14-11-06-43	force	remove	10.0	0.975	0.51875	0.09185556089176211	6.194230048687908
2025-01-14-11-06-43	state_force	pick	0.01	0.95	0.6271844660194175	0.04429186575670024	0.1748486673469411
2025-01-14-11-06-43	state_force	insert	1.0	0.5	0.7740476190476191	0.1190905543639445	2.217866014209577
2025-01-14-11-06-43	state_force	remove	1.0	0.95	0.9609375	0.03808036161484803	1.692310325583932
2025-01-14-11-06-43	state_force_duration	pick	0.01	0.95	0.6271844660194175	0.044301320134515654	0.17467829190399098
2025-01-14-11-06-43	state_force_duration	insert	1.0	0.5	0.7740476190476191	0.1192087474358993	2.215807538324338
2025-01-14-11-06-43	state_force_duration	remove	1.0	0.95	0.9609375	0.03821058812755178	1.6903291175530437
2025-01-14-11-06-43	state_force_peak	pick	1.0	0.975	0.6349514563106796	0.043206144843357004	1.3750461039287079
2025-01-14-11-06-43	state_force_peak	insert	10.0	0.5	0.7740476190476191	0.12327596603139512	4.518716363990283
2025-01-14-11-06-43	state_force_peak	remove	0.1	0.9	0.9609375	0.037521683286920446	0.7011811249627208
2025-01-14-12-05-01	duration	pick	10.0	0.95	0.5760517799352751	0.053415217185784174	0.3329587045146305
2025-01-14-12-05-01	duration	insert	1.0	0.75	0.5733333333333333	0.1758308708482192	0.3696157516704131
