outer	group	action	C	threshold	inner_ba	inner_brier	coefficient_norm
2025-01-14-12-05-01	duration	remove	0.01	0.5	0.5	0.11288221082515142	0.0015269990981678974
2025-01-14-12-05-01	state	pick	10.0	0.975	0.5606796116504854	0.07215405300435976	2.229484278799673
2025-01-14-12-05-01	state	insert	1.0	0.6	0.7880952380952381	0.12044556898719458	1.2579814983979738
2025-01-14-12-05-01	state	remove	0.1	0.8	0.7301587301587302	0.09442844675699896	0.4636358467535323
2025-01-14-12-05-01	force	pick	10.0	0.15	0.5833333333333334	0.05783175143477102	3.485059622788116
2025-01-14-12-05-01	force	insert	10.0	0.75	0.6911904761904761	0.15138709816839138	6.77092193593455
2025-01-14-12-05-01	force	remove	10.0	0.75	0.6031746031746031	0.14168534999727608	4.944544696574802
2025-01-14-12-05-01	state_force	pick	0.01	0.5	0.5	0.05267725867843475	0.1694401093508732
2025-01-14-12-05-01	state_force	insert	1.0	0.5	0.7740476190476191	0.11819768794573109	2.2627996535474657
2025-01-14-12-05-01	state_force	remove	0.01	0.85	0.7142857142857143	0.10490892323105036	0.17652308396353653
2025-01-14-12-05-01	state_force_duration	pick	0.01	0.5	0.5	0.05269451656298796	0.16926499203013498
2025-01-14-12-05-01	state_force_duration	insert	1.0	0.5	0.7740476190476191	0.1183015118597295	2.261236035292211
2025-01-14-12-05-01	state_force_duration	remove	0.01	0.85	0.7142857142857143	0.10498852703545142	0.176576090417645
2025-01-14-12-05-01	state_force_peak	pick	1.0	0.95	0.5946601941747574	0.05915904383757344	1.4140698793451487
2025-01-14-12-05-01	state_force_peak	insert	10.0	0.5	0.7740476190476191	0.12365948800228185	4.618237041097699
2025-01-14-12-05-01	state_force_peak	remove	0.01	0.85	0.7142857142857143	0.10342691385075152	0.1726696824826505
final	duration	pick	10.0	0.95	0.578525641025641	0.05295401878402147	0.33929033701153516
final	duration	insert	1.0	0.75	0.5611764705882353	0.1748229384882424	0.36574202081928436
final	duration	remove	0.01	0.5	0.5	0.09413995966707124	0.0015398961765804573
final	state	pick	0.1	0.975	0.5416666666666667	0.05293157063820819	0.417192819305502
final	state	insert	1.0	0.6	0.788235294117647	0.11911891991320879	1.262195056711662
final	state	remove	0.1	0.9	0.7520833333333333	0.0768394809181062	0.5072899928991609
final	force	pick	10.0	0.15	0.5833333333333334	0.056893582702430036	3.4804701552919455
final	force	insert	10.0	0.8	0.7058823529411765	0.15486856040871166	6.486157651203691
final	force	remove	10.0	0.55	0.5923611111111111	0.10899124425544726	4.664061768200397
final	state_force	pick	0.01	0.5	0.5	0.05220479781693901	0.16960646707817537
final	state_force	insert	1.0	0.5	0.7741176470588236	0.11776508825678633	2.226799000331384
final	state_force	remove	0.1	0.8	0.6909722222222222	0.08239101389581832	0.5730921157684434
final	state_force_duration	pick	0.01	0.5	0.5	0.0522216046887001	0.16942663710460945
final	state_force_duration	insert	1.0	0.5	0.7741176470588236	0.11787955057680581	2.2248084689159
final	state_force_duration	remove	0.1	0.8	0.6909722222222222	0.08248217442390508	0.5732955703254426
final	state_force_peak	pick	1.0	0.95	0.6057692307692308	0.058137816254117666	1.4054438073234052
final	state_force_peak	insert	10.0	0.5	0.7741176470588236	0.12198031179262074	4.5341878954150125
final	state_force_peak	remove	0.1	0.85	0.7402777777777778	0.0789995544455999	0.5240552833829761
