name	compress_type	compressed_bytes	uncompressed_bytes	header_offset	crc32	flag_bits
data/2025-01-13-16-19-55.h5	8	619907124	2876686269	37712341484	6aa5bfc9	8
data/2025-01-11-13-59-43.h5	8	262374776	1046694398	38332248713	b26194ce	8
data/2025-01-11-14-45-48.h5	8	420480940	1901970690	38594623594	2ab8735d	8
data/2025-01-10-15-34-33.h5	8	337767018	1478556134	39015104639	d1514ba9	8
data/2025-01-09-18-41-38.h5	8	196544157	897860450	39352871762	a17f70af	8
data/2025-01-11-11-29-58.h5	8	271891693	1161264847	39549416024	32e0692d	8
data/2025-01-13-10-51-29.h5	8	660913741	2932237713	39821307822	1bfc7dc0	8
data/2025-01-13-18-45-09.h5	8	678822635	3165892683	40482221668	a7ae7c26	8
data/2025-01-13-17-46-07.h5	8	340654493	1539725497	41161044408	9b7b13a3	8
data/2025-01-09-18-21-40.h5	8	400101678	1760209539	41501699006	9f23abde	8
data/2025-01-13-11-44-13.h5	8	563067653	2519930267	41901800789	b1155604	8
data/2025-01-14-09-57-36.h5	8	514690863	2299602009	42464868547	a772a999	8
data/2025-01-13-18-06-08.h5	8	212949853	981122644	42979559515	5258426c	8
data/2025-01-13-16-27-57.h5	8	320752636	1481491385	43192509473	c8e1cb22	8
data/2025-01-13-11-31-57.h5	8	349499369	1488324716	43513262214	38ae08bf	8
data/2025-01-09-15-08-11.h5	8	72717044	303154613	43862761688	3dde59a2	8
data/2025-01-13-17-51-11.h5	8	34116508	159616702	43935478837	88331672	8
data/2025-01-13-19-04-46.h5	8	63005412	261423980	43969595450	c17b0bd6	8
data/2025-01-09-15-46-39.h5	8	127635595	567291591	44032600967	77a52c13	8
data/2025-01-14-11-28-33.h5	8	109087231	473143263	44160236667	df881022	8
data/2025-01-09-15-18-29.h5	8	559637434	2493347265	44269324003	be3d916c	8
data/2025-01-13-18-16-38.h5	8	682482456	3209818358	44828961542	68a28175	8
data/2025-01-09-18-00-33.h5	8	426222112	1875566503	45511444103	10825335	8
data/2025-01-14-11-06-43.h5	8	385215677	1711781696	45937666320	e6807ca1	8
data/2025-01-11-11-12-32.h5	8	650485738	3000652984	46322882102	14c35807	8
data/2025-01-09-16-44-57.h5	8	737606866	3309374356	46973367945	d140858b	8
data/2025-01-13-18-25-52.h5	8	539225260	2679754704	47710974916	535b9efe	8
data/2025-01-13-17-57-45.h5	8	603510208	2731321653	48250200281	d4cdff1d	8
data/2025-01-11-14-43-37.h5	8	23977315	102449944	48853710594	1f3985c6	8
data/2025-01-11-14-59-16.h5	8	83406982	381511180	48877688014	33b2c542	8
data/2025-01-10-16-17-40.h5	8	48719349	218979938	48961095101	045b6595	8
data/2025-01-13-11-23-17.h5	8	481337003	2181798322	49009814555	df79ff2a	8
data/2025-01-13-15-58-56.h5	8	349815002	1618997237	49491151663	97ac51ce	8
data/2025-01-11-14-35-33.h5	8	273490528	1242248068	49840966770	7844562f	8
data/2025-01-09-15-02-21.h5	8	321714587	1442083499	50114457403	02db85f8	8
data/2025-01-14-11-53-50.h5	8	668811247	3009363210	50436172095	460f8909	8
data/2025-01-10-15-49-06.h5	8	697943746	3032145536	51104983447	dcb81462	8
data/2025-01-11-15-32-26.h5	8	70429126	292429147	51802927298	575a10af	8
data/2025-01-14-11-45-36.h5	8	388929489	1883923588	51873356529	035c9cda	8
data/2025-01-14-10-54-26.h5	8	89223938	391059914	52262286123	a45fe9d5	8
data/2025-01-13-19-14-28.h5	8	350818331	1664911328	52351510166	3a61763e	8
data/2025-01-09-17-34-18.h5	8	383025818	1746130972	52702328602	fed2afdd	8
data/2025-01-13-11-37-50.h5	8	324077075	1440364101	53085354525	a7c989e2	8
data/2025-01-10-18-03-36.h5	8	481576595	2197010826	53409431705	fca1bb8b	8
data/2025-01-10-17-10-38.h5	8	531742779	2345254686	53891008405	eae4d137	8
data/2025-01-13-15-06-09.h5	8	270603326	1218238744	54422751289	c754920a	8
data/2025-01-11-11-51-20.h5	8	266138982	1187641676	54693354720	4472b8a7	8
data/2025-01-11-14-40-46.h5	8	135058990	601925940	54959493807	4133d010	8
data/2025-01-09-18-34-34.h5	8	425502531	1897803328	55094552902	db5cc4ea	8
data/2025-01-10-18-41-18.h5	8	367224318	1642470636	55520055538	84062b93	8
data/2025-01-13-18-59-44.h5	8	219577666	977369378	55887279961	b30431fb	8
data/2025-01-13-18-40-21.h5	8	232503850	1065461577	56106857732	b83f83d4	8
data/2025-01-11-14-14-43.h5	8	453490757	2006214246	56339361687	d3035f69	8
data/2025-01-10-16-47-15.h5	8	408998782	1845443553	56792852549	f8924f57	8
data/2025-01-13-11-52-19.h5	8	330972865	1532643713	57201851436	ff39f44a	8
data/2025-01-09-14-47-32.h5	8	424660949	1830219506	57532824406	35e51f54	8
data/2025-01-13-16-45-31.h5	8	547578026	2545584956	57957485460	5660b820	8
data/2025-01-10-15-59-54.h5	8	376253384	1647138964	58505063591	dc124c3f	8
